,Country,City,Latitude,Longitude,elevation
2432,AFG,Samangan,36.0,67.666667,1938.0
1342,AFG,Khost,33.4014634,69.8912294,1532.0
3074,AFG,Zabul,32.3068942,67.129904,2063.0
2065,AFG,Paktia,33.705724,69.4083555,2517.0
968,AFG,Ghor,34.1605257,64.9201949,2682.0
1409,AFG,Kunar,34.95,71.133333,1933.0
1410,AFG,Kunduz,36.8707187,68.7563528,427.0
1092,AFG,Herat,34.3491443,62.2163252,1161.0
1090,AFG,Helmand,31.0,64.0,915.0
2485,AFG,Sar-e Pol,35.5532126,66.2426766,2405.0
1461,AFG,Laghman,34.783333,70.183333,1560.0
1980,AFG,Nuristan,35.3,70.833333,3789.0
1518,AFG,Logar,34.0653595,69.160172,2477.0
2990,AFG,Wardak,34.3191345,68.3360426,3025.0
725,AFG,Daykundi,33.725113,66.2196554,2591.0
1884,AFG,Nimruz,30.7753811,62.4793088,552.0
961,AFG,Ghanzi,,,2725.0
1827,AFG,Nangarhar,34.220389,70.3800314,1136.0
2066,AFG,Paktika,32.3936231,68.7036514,2179.0
2071,AFG,Panjshir,35.4338536,69.7930899,3779.0
2722,AFG,Takhar,36.5940732,69.7938996,1387.0
889,AFG,Farah,32.607111,62.671011,844.0
282,AFG,Baghlan,35.75,69.0,2004.0
307,AFG,Bamyan,34.75,67.25,3210.0
2889,AFG,Uruzgan,32.8129681,66.0183185,1930.0
1270,AFG,Kandahar,31.6205738,65.7157573,1144.0
893,AFG,Faryab,35.9261784,64.6237758,815.0
1226,AFG,Jowzjan,36.9665706,65.9560232,303.0
1241,AFG,Kabul,34.5269503,69.1850584,1954.0
298,AFG,Balkh,36.7581299,66.8979753,381.0
2081,AFG,Parwan,34.9797014,68.9146703,2750.0
277,AFG,Badakhshan,36.8040254,71.367658,3663.0
279,AFG,Badghis,35.0,63.75,1495.0
1280,AFG,Kapisa,34.905556,69.741667,2344.5
1819,AGO,Namibe,-15.2669341,12.7064561,533.0
363,AGO,Bengo,-8.3196672,13.8656195,301.0
392,AGO,Bié,-12.2630485,17.4967812,1449.0
500,AGO,Cabinda,-5.056395,12.3211749,106.0
1538,AGO,Luanda,-8.8272699,13.2439512,111.0
2901,AGO,Uíge,-6.9516802,15.4799164,796.0
364,AGO,Benguela,-12.5790048,13.4037117,900.0
1548,AGO,Lunda Norte,-8.5088253,19.7538618,963.0
694,AGO,Cuanza Sul,-10.7707527,15.0975712,1209.0
1128,AGO,Huíla,-14.6957808,15.0976293,1382.0
693,AGO,Cuanza Norte,-9.0296752,15.0926324,765.0
1762,AGO,Moxico,-12.7287195,21.2737637,1198.0
692,AGO,Cuando Cubango,-16.0457694,19.5621532,1180.0
1601,AGO,Malanje,-9.535332,16.9364293,1089.0
3081,AGO,Zaire,-6.6925131,13.5293029,293.0
1121,AGO,Huambo,-12.7772455,15.7346713,1640.0
696,AGO,Cunene,-16.5568536,15.7867319,1159.0
1549,AGO,Lunda Sul,-10.1473779,20.9907756,1108.0
850,ALB,Elbasan,41.1126792,20.0820858,598.0
2539,ALB,Shkodër,42.0681371,19.5121437,597.0
978,ALB,Gjirokastër,40.0770871,20.1393359,694.0
1492,ALB,Lezhë,41.7816638,19.6433538,328.0
369,ALB,Berat,40.7018636,19.9580758,554.0
2794,ALB,Tiranë,41.3281482,19.8184435,202.0
900,ALB,Fier,40.7251118,19.5582079,14.0
1386,ALB,Korçë,40.6158967,20.7772187,1069.0
805,ALB,Durrës,41.313255,19.4462348,29.0
2964,ALB,Vlorë,40.4707602,19.4912716,297.0
1406,ALB,Kukës,42.0768978,20.4163203,880.0
756,ALB,Dibër,41.622192,20.180816,956.0
853,AND,Encamp,42.5360425,1.5836096,2298.5
866,AND,Escaldes-Engordany,42.486196,1.6037711,2220.5
1446,AND,La Massana,42.5442014,1.5163754,1925.0
161,AND,Andorra la Vella,42.4979185,1.5032264,1667.0
2023,AND,Ordino,42.600955,1.5298388,2209.5
2468,AND,Sant Julia de Loria,42.4667169,1.4967329,1593.0
516,AND,Canillo,42.5868092,1.6574431,2282.0
2264,ARE,Ras al-Khaimah,25.7737705,55.938232,210.0
915,ARE,Fujairah,25.1244604,56.3355085,287.0
42,ARE,Abu Dhabi,24.4538352,54.3774014,106.0
82,ARE,Ajman,25.5091287,55.3619072,30.0
2529,ARE,Sharjah,25.2311534,54.2190083,137.0
799,ARE,Dubai,25.0742823,55.1885387,75.0
2877,ARE,Umm al-Quwain,25.6112488,55.6174631,38.0
1713,ARG,Misiones,-26.737224,-54.4315257,294.0
2429,ARG,Salta,-25.1076701,-64.3494964,666.0
649,ARG,Ciudad Autónoma de Buenos Aires,-34.6161231,-58.4356212,21.5
1227,ARG,Jujuy,-23.3161458,-65.7595288,3723.0
1451,ARG,La Roja,-34.5555773,-58.4652481,847.0
1447,ARG,La Pampa,-37.2314643,-65.3972948,256.0
453,ARG,Buenos Aires,-34.6095579,-58.3887904,67.0
910,ARG,Formosa,-24.5955306,-60.4289718,111.0
2789,ARG,Tierra del Fuego,-54.4071064,-67.8974895,117.0
2845,ARG,Tucumán,-26.5643582,-64.882397,466.0
2481,ARG,Santiago del Estero,-27.6431016,-63.5408542,160.0
1687,ARG,Mendoza,-34.787093,-68.4381868,1019.0
589,ARG,Chaco,-26.3829647,-60.8816092,102.0
2474,ARG,Santa Fe,-30.3154739,-61.1645076,62.0
2449,ARG,San Juan,-30.7054363,-69.1988222,1974.0
2451,ARG,San Luis,-33.2762202,-65.9515546,504.0
2472,ARG,Santa Cruz,-48.5693327,-70.1606767,345.0
2355,ARG,Río Negro,-40.4811973,-67.6145911,428.0
552,ARG,Catamarca,-27.1910825,-67.105374,3141.0
681,ARG,Corrientes,-28.9956511,-57.812458,68.0
702,ARG,Córdoba,-31.4166867,-64.1834193,206.0
1846,ARG,Neuquén,-38.3695057,-69.832275,989.0
633,ARG,Chubut,-43.7128356,-68.7461817,558.0
1390,ARM,Kotayk,40.4033275,44.6959923,1981.0
206,ARM,Armavir,40.1556494,44.038797,893.0
195,ARM,Ararat,40.0053589,44.7315157,1277.0
192,ARM,Aragatsotn,40.3827655,44.114727,1827.0
3063,ARM,Yerevan,40.1777112,44.5126233,1062.0
2536,ARM,Shirak,40.918594,43.8403536,2005.5
953,ARM,Gegharkunik,40.3030726,45.375739,2066.0
2684,ARM,Syunik,39.3281408,46.1530296,2068.0
2755,ARM,Tavush,40.8275136,45.1847828,1398.0
2937,ARM,Vayots Dzor,39.8019849,45.4557591,2047.5
1528,ARM,Lori,41.007271,44.4900113,1715.0
182,ATA,Antarctica,-20.4992499,-54.6631943,
2386,ATG,Saint George,17.1218022,-61.78123,
2403,ATG,Saint Mary,17.054815,-61.8602368,
2414,ATG,Saint Philip,17.066357,-61.7061957,
2411,ATG,Saint Peter,17.1070239,-61.7502143,
2275,ATG,Redonda,17.0244844,-62.2936226,
2407,ATG,Saint Paul,17.0325831,-61.7706567,
2391,ATG,Saint John,17.1184569,-61.8448509,
318,ATG,Barbuda,17.6148748,-61.8543761,
2605,AUS,South Australia,-30.5343665,135.6301212,
1855,AUS,New South Wales,-31.8759835,147.2869493,
2947,AUS,Victoria,-36.5986096,144.6780052,
2044,AUS,Other Territories,,,
1963,AUS,Northern Territory,-19.8516101,133.2303375,
2239,AUS,Queensland,-22.1646782,144.5844903,
241,AUS,Australian Capital Territory,-35.4883502,149.0026942,
2750,AUS,Tasmania,-42.035067,146.6366887,
3019,AUS,Western Australia,-25.2303005,121.0187246,
3032,AUT,Wien,48.2083537,16.3725042,
1432,AUT,Kärnten,46.7500001,13.8333333,
2655,AUT,Steiermark,47.2500001,15.1666665,
2431,AUT,Salzburg,47.7981346,13.0464806,
1989,AUT,Oberösterreich,48.25,14.0,
463,AUT,Burgenland,47.5000001,16.4166666,
2796,AUT,Tirol,47.223193,11.5261028,
1879,AUT,Niederösterreich,48.2817813,15.7632457,
2969,AUT,Vorarlberg,47.25,9.9166667,
676,AZE,Contiguous Azerbaijan,,,
1808,AZE,Nakhchivan Autonomous Republic,39.3194099,45.5190282,
466,BDI,Bururi,-3.8581592,29.584379,
1307,BDI,Kayanza,-3.0214816,29.6458034,
976,BDI,Gitega,-3.4284953,29.9249718,
2352,BDI,Ruyigi,-3.4573516,30.3488303,
1869,BDI,Ngozi,-2.8776895,29.8994986,
